FDID,RESPONSE_TIME,FIRE_CLEARANCE_TIME,DEPT_STA,INC_TYPE,SHIFT,PROP_VAL
9012,25.0,260.0,19,111,B,
10080,19.0,172.0,130,111,,150000.0
10090,9.0,82.0,120,111,3,
10090,7.0,14.0,120,150,3,500.0
10090,5.0,15.0,120,154,3,3000.0
10090,16.0,52.0,120,143,1,
10090,13.0,3.0,120,118,2,
10090,15.0,72.0,120,111,3,
10090,7.0,10.0,120,151,1,
10090,8.0,3.0,120,140,1,
10090,4.0,420.0,120,111,3,
10090,8.0,241.0,120,111,3,
10090,20.0,17.0,120,131,2,
10090,19.0,41.0,120,131,2,
10090,8.0,12.0,120,143,3,
10090,6.0,14.0,120,131,2,
10090,8.0,32.0,120,143,2,
10090,7.0,69.0,120,112,2,
10090,5.0,34.0,120,143,3,
10090,9.0,10.0,120,151,1,
10090,8.0,72.0,120,143,2,
10090,10.0,16.0,120,143,3,
10090,10.0,25.0,120,151,2,
10090,4.0,24.0,120,142,3,
10090,13.0,207.0,120,111,1,
10090,7.0,13.0,120,131,2,
10090,6.0,35.0,120,116,3,
10090,12.0,28.0,120,151,2,
10090,18.0,78.0,120,151,1,
10090,7.0,9.0,120,151,1,
10090,9.0,47.0,120,151,3,
10090,10.0,77.0,120,111,3,200000.0
15010,8.0,172.0,15,111,C,300000.0
15010,9.0,39.0,15,122,A,2000.0
15010,6.0,92.0,12,111,A,6000000.0
15010,23.0,46.0,15,122,A,2000.0
15010,7.0,17.0,15,151,B,0.0
15010,31.0,140.0,14,111,B,40000.0
15010,7.0,23.0,15,111,A,500000.0
15010,12.0,0.0,14,150,A,0.0
15010,21.0,0.0,15,150,C,0.0
15010,8.0,63.0,14,120,B,10000.0
15010,8.0,18.0,15,150,B,0.0
15010,10.0,204.0,15,111,C,0.0
15010,5.0,8.0,12,154,C,1000.0
15010,14.0,6.0,17,151,C,1.0
15010,7.0,11.0,14,151,A,0.0
15010,11.0,76.0,17,120,B,2000.0
15010,17.0,5.0,12,150,A,0.0
15010,24.0,4.0,17,150,B,0.0
15010,7.0,9.0,14,151,B,0.0
15010,17.0,5.0,14,151,B,0.0
15010,5.0,22.0,15,151,B,1.0
15010,17.0,22.0,14,114,B,100000.0
15010,10.0,225.0,14,121,B,5000.0
15010,16.0,87.0,17,111,C,750000.0
15010,3.0,56.0,11,122,C,30000.0
15010,8.0,7.0,15,150,C,
15010,0.0,20.0,11,132,A,60000.0
15010,10.0,8.0,15,150,C,
15010,16.0,35.0,15,111,C,200000.0
15010,8.0,8.0,15,150,C,2000.0
15010,14.0,4.0,15,150,C,
15010,11.0,5.0,15,150,C,
15010,15.0,11.0,17,150,A,
15010,7.0,53.0,15,137,A,15000.0
15010,12.0,13.0,11,131,B,12000.0
15010,14.0,34.0,13,131,B,20000.0
15010,0.0,13.0,15,100,B,5000.0
15010,7.0,65.0,16,111,B,250000.0
15010,9.0,118.0,15,123,B,10000.0
15010,27.0,16.0,14,150,B,200.0
15010,5.0,13.0,14,154,A,0.0
15010,8.0,12.0,15,151,B,1.0
15010,18.0,12.0,15,151,B,0.0
15010,6.0,6.0,14,150,C,0.0
15010,7.0,4.0,15,150,C,
15010,7.0,5.0,14,151,C,0.0
15010,5.0,23.0,13,154,B,
15010,29.0,40.0,15,142,B,
15010,13.0,28.0,15,143,C,
15010,4.0,18.0,14,131,C,2700.0
15010,7.0,38.0,12,113,A,1500000.0
15010,10.0,60.0,15,150,C,
15010,16.0,34.0,14,131,C,35000.0
15010,15.0,86.0,13,111,C,500000.0
15010,12.0,64.0,17,161,C,
15010,18.0,28.0,14,142,C,0.0
15010,6.0,75.0,17,122,B,1000.0
15010,7.0,76.0,14,122,B,5000.0
15010,2.0,3.0,13,131,A,80000.0
15010,1.0,5.0,15,154,B,1.0
15010,19.0,10.0,17,112,B,
15010,8.0,85.0,14,111,B,200000.0
15010,7.0,174.0,15,111,B,310000.0
15010,9.0,64.0,14,132,B,120000.0
15010,5.0,13.0,15,150,C,
15010,2.0,11.0,14,151,C,50000.0
15010,11.0,24.0,15,131,C,2000.0
15010,10.0,58.0,15,121,B,218000.0
15010,11.0,3.0,12,118,B,1.0
15010,5.0,5.0,15,151,B,1.0
15010,6.0,4.0,15,151,B,1.0
15010,2.0,24.0,12,118,C,200000.0
15010,14.0,14.0,17,151,C,
15010,13.0,16.0,14,142,A,0.0
15010,7.0,3.0,15,151,A,0.0
15010,7.0,23.0,15,154,A,500.0
15010,5.0,25.0,15,140,C,
15010,5.0,7.0,15,140,C,
15010,7.0,7.0,15,150,C,
15010,7.0,156.0,17,111,A,50000.0
15010,8.0,14.0,15,151,A,0.0
15010,8.0,43.0,15,111,A,250000.0
15010,22.0,28.0,15,151,A,0.0
15010,6.0,22.0,14,151,A,
15010,7.0,10.0,14,151,A,
15010,8.0,63.0,14,111,B,200000.0
15010,17.0,20.0,15,151,B,0.0
15010,7.0,17.0,14,150,B,0.0
15010,8.0,14.0,15,151,A,0.0
15010,6.0,247.0,15,111,A,310000.0
15010,0.0,2.0,14,151,A,
15010,8.0,10.0,15,151,A,0.0
15010,9.0,46.0,14,151,B,0.0
15010,19.0,27.0,15,131,B,8000.0
15010,5.0,10.0,14,142,B,0.0
15010,8.0,57.0,15,150,C,0.0
15010,16.0,18.0,15,131,C,1.0
15010,8.0,5.0,18,113,C,
15010,22.0,36.0,14,131,C,80000.0
15010,6.0,88.0,17,121,C,
15010,10.0,203.0,17,111,B,20000.0
15010,8.0,62.0,14,100,B,0.0
15010,8.0,23.0,15,122,C,15000.0
15010,17.0,29.0,14,131,C,30000.0
15010,7.0,4.0,15,142,C,
15010,6.0,17.0,15,131,C,1000.0
15010,11.0,13.0,15,151,A,0.0
15010,20.0,17.0,15,151,A,0.0
15010,6.0,3.0,14,150,C,0.0
15010,10.0,62.0,15,111,C,1500.0
15010,8.0,20.0,12,111,A,300000.0
15010,3.0,6.0,13,130,A,30000.0
15010,5.0,60.0,15,151,A,0.0
15010,6.0,86.0,15,111,B,370000.0
15010,7.0,47.0,11,131,B,10000.0
15010,3.0,11.0,15,151,A,0.0
15010,5.0,9.0,15,142,A,0.0
15010,8.0,11.0,15,151,A,0.0
15010,9.0,8.0,14,150,A,500.0
15010,11.0,41.0,15,131,A,35000.0
15010,14.0,59.0,14,151,A,0.0
15010,17.0,209.0,14,111,A,
15010,7.0,15.0,14,142,B,
15010,3.0,23.0,13,151,B,1.0
15010,38.0,105.0,11,140,B,
15010,8.0,20.0,15,151,B,0.0
15010,9.0,81.0,15,111,C,500.0
15010,8.0,117.0,14,111,C,100000.0
15010,23.0,44.0,14,111,C,
15010,9.0,8.0,15,131,B,1.0
15010,10.0,30.0,15,131,B,15000.0
15010,10.0,37.0,15,142,C,
15010,16.0,29.0,13,112,C,500.0
15010,18.0,241.0,12,111,C,1.0
15010,5.0,3.0,15,112,C,
15010,22.0,29.0,14,112,A,25000.0
15010,7.0,28.0,13,131,C,10000.0
15010,17.0,15.0,13,162,C,5000.0
15010,7.0,4.0,15,151,A,0.0
15010,8.0,6.0,15,150,A,0.0
15010,7.0,12.0,15,111,A,100000.0
15010,6.0,28.0,15,111,A,100000.0
15010,8.0,107.0,15,111,A,1.0
15010,8.0,385.0,15,121,B,34000.0
15010,25.0,78.0,14,142,B,0.0
15010,13.0,7.0,14,151,B,0.0
15010,19.0,82.0,17,111,B,120000.0
15010,5.0,10.0,18,130,A,5000.0
15010,14.0,5.0,15,151,B,1.0
15010,11.0,28.0,13,131,C,10000.0
15010,12.0,12.0,17,150,B,
15010,12.0,8.0,14,112,C,0.0
15010,16.0,104.0,12,111,C,
15010,7.0,7.0,12,113,C,1.0
15010,9.0,3.0,12,150,C,
15010,5.0,68.0,12,121,C,25000.0
15010,13.0,38.0,17,150,A,1.0
15010,11.0,57.0,12,111,B,350000.0
15010,1.0,75.0,12,123,B,2000.0
15010,5.0,4.0,14,151,B,0.0
15010,12.0,33.0,12,132,B,5000.0
15010,7.0,9.0,14,150,B,0.0
15010,5.0,17.0,15,100,A,
15010,7.0,24.0,14,131,A,3000.0
15010,27.0,22.0,14,131,A,
15010,20.0,2.0,15,151,A,0.0
15010,11.0,10.0,14,140,B,0.0
15010,8.0,12.0,15,143,B,1.0
15010,8.0,4.0,15,112,B,1.0
15010,15.0,30.0,15,143,C,
15010,6.0,434.0,15,111,C,50000.0
15010,23.0,17.0,16,150,C,500000.0
15010,10.0,13.0,15,151,B,0.0
15010,9.0,17.0,15,111,B,300000.0
15010,12.0,24.0,11,131,B,6000.0
15010,4.0,3.0,14,150,B,0.0
15010,7.0,71.0,13,111,B,350000.0
15010,2.0,3.0,15,150,C,
15010,9.0,18.0,15,131,C,9000.0
15010,10.0,21.0,14,130,C,1200.0
15010,10.0,27.0,15,151,A,0.0
15010,4.0,12.0,14,151,A,
15010,17.0,12.0,17,150,A,
15010,10.0,71.0,14,161,A,2000.0
15010,5.0,65.0,15,131,C,35000.0
15010,13.0,6.0,11,131,A,50000.0
15010,4.0,23.0,14,118,A,150000.0
15010,16.0,59.0,12,111,B,
15010,16.0,115.0,12,132,B,20000.0
15010,5.0,19.0,15,162,A,2000.0
15010,11.0,105.0,15,137,A,9000.0
15010,9.0,14.0,14,142,B,0.0
15010,8.0,10.0,14,150,C,0.0
15010,8.0,25.0,13,131,C,10000.0
15010,6.0,11.0,12,150,B,
15010,30.0,46.0,14,138,C,30000.0
15010,5.0,126.0,16,111,C,250000.0
15010,6.0,15.0,12,113,C,
15010,15.0,20.0,15,111,A,200000.0
15010,10.0,244.0,15,161,A,2000.0
15010,8.0,4.0,16,112,A,0.0
15010,33.0,76.0,15,140,C,
15010,20.0,61.0,15,131,C,5000.0
15010,19.0,3.0,15,151,A,
15010,6.0,28.0,17,150,A,
15010,21.0,87.0,11,131,A,400.0
15010,7.0,26.0,15,151,A,0.0
15010,10.0,19.0,15,143,A,
15010,7.0,5.0,14,112,A,500.0
15010,17.0,98.0,13,111,B,250000.0
15010,9.0,5.0,15,142,B,
15010,7.0,18.0,14,121,B,1500.0
15010,12.0,10.0,14,150,B,
15010,37.0,59.0,15,140,B,
15010,34.0,100.0,15,100,B,0.0
15010,39.0,13.0,15,100,B,
15010,97.0,34.0,12,142,B,0.0
15010,0.0,152.0,15,122,B,350000.0
15010,139.0,1.0,15,100,B,
15010,19.0,40.0,14,100,B,0.0
15010,57.0,3.0,15,140,B,
15010,6.0,7.0,12,131,B,10000.0
15010,19.0,136.0,17,111,C,250000.0
15010,5.0,20.0,12,151,C,0.0
15010,5.0,11.0,12,131,B,5000.0
15010,9.0,16.0,16,151,B,
15010,5.0,24.0,13,161,B,1000.0
15010,19.0,173.0,14,140,B,0.0
15010,8.0,23.0,12,151,C,0.0
15010,17.0,13.0,15,142,C,
15010,16.0,151.0,15,111,C,
15010,10.0,72.0,11,132,C,
15010,13.0,19.0,15,143,C,
15010,6.0,33.0,15,111,C,1000.0
15010,9.0,32.0,14,140,C,0.0
15010,5.0,19.0,17,150,A,
15010,7.0,4.0,15,151,A,500.0
